Type,Domain,Prefix,sbr-nl,local,xbrl
roles,ocw,urn:kvk:linkrole:classes-of-segment-reporting-sectors-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-general-notes-group-structure-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-consolidated-staffing-level-budget-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-noncurrent-liabilities-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-inventories-education,False,True,False
roles,ocw,urn:kvk:linkrole:designated-reserve-private-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-general-reserve-education,False,True,False
roles,ocw,urn:kvk:linkrole:subsidy-income-into-next-year-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-revaluation-reserve-realised-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-cash-and-cash-equivalents-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-costs-of-own-organisation-education,False,True,False
roles,ocw,urn:kvk:linkrole:designated-fund-public-education,False,True,False
roles,ocw,urn:kvk:linkrole:designated-reserve-public-education,False,True,False
roles,ocw,urn:kvk:linkrole:budget-type-education,False,True,False
roles,ocw,http://www.xbrl.org/2003/role/link,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/label,False,False,True
roles,ocw,http://www.xbrl.org/2008/role/link,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/totalLabel,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/documentation,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/labelLinkbaseRef,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/commentaryGuidance,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/terseLabel,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/definitionGuidance,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/referenceLinkbaseRef,False,False,True
roles,ocw,http://www.xbrl.org/2009/role/negatedLabel,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/reference,False,False,True
roles,ocw,urn:kvk:linkrole:notes-consolidated-receivables-receivables-other-related-parties-current-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-receivables-receivables-other-current-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-results-appropriation-segmentation-education-previous,False,True,False
roles,ocw,urn:ocw:linkrole:notes-property-plant-equipment-movement-education-previous,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-current-liabilities-payables-other-current-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-current-liabilities-payables-other-current-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-subsidy-income-continuing-into-next-year-previous-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-property-plant-equipment-movement-education-previous,False,True,False
roles,ocw,urn:kvk:linkrole:notes-receivables-receivables-other-related-parties-current-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-income-expenses-statement-segmentation-sectors-education-previous,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-income-expenses-statement-segmentation-sectors-education-previous,False,True,False
roles,ocw,urn:kvk:linkrole:notes-subsidy-income-spend-including-surplus-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-statement-of-changes-previous-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-noncurrent-liabilities-payables-other-noncurrent-movement-previous-specification-education,False,True,False
roles,ocw,http://www.nltaxonomie.nl/2011/role/linkrole-info,True,False,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-financial-assets-movement-education-previous,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-provisions-movement-education-previous,False,True,False
roles,ocw,urn:kvk:linkrole:notes-subsidy-income-continuing-into-next-year-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-fund-public-movement-previous-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-noncurrent-liabilities-payables-other-noncurrent-movement-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-subsidy-income-spend-including-surplus-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-reserve-public-movement-previous-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-results-appropriation-segmentation-education-previous,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-fund-private-movement-previous-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-noncurrent-liabilities-movement-education-previous,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-reserve-private-movement-previous-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-provisions-movement-education-previous,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-receivables-receivables-other-current-previous-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-noncurrent-liabilities-movement-education-previous,False,True,False
roles,ocw,urn:ocw:linkrole:notes-financial-assets-movement-education-previous,False,True,False
roles,ocw,http://www.xbrl.org/2003/role/definitionLinkbaseRef,False,False,True
roles,ocw,http://www.xbrl.org/2003/role/presentationLinkbaseRef,False,False,True
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-252,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-640,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-272,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-a6,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-620,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-a3,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-300,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-121,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-254,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-655,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-315,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b13,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-a1,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-360,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-921,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-228,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-258,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-a8,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b8,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-214,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-212,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-110,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b16,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines405,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-a2,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b9,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-expressions,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-410,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-240,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-217,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b2,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-605,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-140,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-610,False,True,False
